"COMMAND","MASK","MASK AND","MASK XOR"
"ADC","0001 11AB BBBB AAAA","1111 1100 0000 0000","0001 1100 0000 0000"
"ADD","0000 11AB BBBB AAAA","1111 1100 0000 0000","0000 1100 0000 0000"
"ADIW","1001 0110 AABB AAAA","1111 1111 0000 0000","1001 0110 0000 0000"
"AND","0010 00AB BBBB AAAA","1111 1100 0000 0000","0010 0000 0000 0000"
"ANDI","0111 AAAA BBBB AAAA","1111 0000 0000 0000","0111 0000 0000 0000"
"ASR","1001 010A AAAA 0101","1111 1110 0000 1111","1001 0100 0000 0101"
"BCLR","1001 0100 1AAA 1000","1111 1111 1000 1111","1001 0100 1000 1000"
"BLD","1111 100A AAAA 0BBB","1111 1110 0000 1000","1111 1000 0000 0000"
"BRBC","1111 01AA BBBB ABBB","1111 1100 0000 0000","1111 0100 0000 0000"
"BRBS","1111 00AA AAAA ABBB","1111 1100 0000 0000","1111 0000 0000 0000"
"BRCC","1111 01AA AAAA A000","1111 1100 0000 0111","1111 0100 0000 0000"
"BRCS","1111 00AA AAAA A000","1111 1100 0000 0111","1111 0000 0000 0000"
"BREQ","1111 00AA AAAA A001","1111 1100 0000 0111","1111 0000 0000 0001"
"BRGE","1111 01AA AAAA A100","1111 1100 0000 0111","1111 0100 0000 0100"
"BRHC","1111 01AA AAAA A101","1111 1100 0000 0111","1111 0100 0000 0101"
"BRHS","1111 00AA AAAA A101","1111 1100 0000 0111","1111 0000 0000 0101"
"BRID","1111 01AA AAAA A111","1111 1100 0000 0111","1111 0100 0000 0111"
"BRIE","1111 00AA AAAA A111","1111 1100 0000 0111","1111 0000 0000 0111"
"BRLO","1111 00AA AAAA A000","1111 1100 0000 0111","1111 0000 0000 0000"
"BRLT","1111 00AA AAAA A100","1111 1100 0000 0111","1111 0000 0000 0100"
"BRMI","1111 00AA AAAA A010","1111 1100 0000 0111","1111 0000 0000 0010"
"BRNE","1111 01AA AAAA A001","1111 1100 0000 0111","1111 0100 0000 0001"
"BRPL","1111 01AA AAAA A010","1111 1100 0000 0111","1111 0100 0000 0010"
"BRSH","1111 01AA AAAA A000","1111 1100 0000 0111","1111 0100 0000 0000"
"BRTC","1111 01AA AAAA A110","1111 1100 0000 0111","1111 0100 0000 0110"
"BRTS","1111 00AA AAAA A110","1111 1100 0000 0111","1111 0000 0000 0110"
"BRVC","1111 01AA AAAA A011","1111 1100 0000 0111","1111 0100 0000 0011"
"BRVS","1111 00AA AAAA A011","1111 1100 0000 0111","1111 0000 0000 0011"
