Команда;p1;p2;Name p1;Name p2;Кодоперации;Mask and;Mask xor
add;;;d;r;000011rdddddrrrr;1111110000000000;0000110000000000
adc;;;d;r;000111rdddddrrrr;1111110000000000;0001110000000000
adiw;b;;d;K;10010110KKddKKKK;1111111100000000;1001011000000000
sub;a;;d;r;000110rdddddrrrr;1111110000000000;0001100000000000
sbc;;;d;r;000010rdddddrrrr;1111110000000000;0000100000000000
subi;a;;d;K;0101KKKKddddKKKK;1111000000000000;0101000000000000
sbci;a;;d;K;0100KKKKddddKKKK;1111000000000000;0100000000000000
sbiw;b;;d;K;10010111KKddKKKK;1111111100000000;1001011100000000
and;;;d;r;001000rdddddrrrr;1111110000000000;0010000000000000
andi;a;;d;K;0111KKKKddddKKKK;1111000000000000;0111000000000000
or;;;d;r;001010rdddddrrrr;1111110000000000;0010100000000000
ori;a;;d;K;0110KKKKddddKKKK;1111000000000000;0110000000000000
eor;;;d;r;001001rdddddrrrr;1111110000000000;0010010000000000
com;;;d;;1001010ddddd0000;1111111000001111;1001010000000000
neg;;;d;;1001010ddddd0001;1111111000001111;1001010000000001
sbr;a;;d;K;0110KKKKddddKKKK;1111000000000000;0110000000000000
cbr;a;;d;K;0111KKKKddddKKKK;1111000000000000;0111000000000000
inc;;;d;;1001010ddddd0011;1111111000001111;1001010000000011
dec;;;d;;1001010ddddd1010;1111111000001111;1001010000001010
tst;;;d;;001000dddddddddd;1111110000000000;0010000000000000
clr;;;d;;001001dddddddddd;1111110000000000;0010010000000000
ldi;a;;d;K;1110KKKKddddKKKK;1111000000000000;1110000000000000
ser;a;;d;;11101111dddd1111;1111111100001111;1110111100001111
mov;;;d;r;001011rdddddrrrr;1111110000000000;0010110000000000
movw;;;d;r;00000001ddddrrrr;1111111100000000;0000000100000000
ld;;;d;X;1001000ddddd1100;1111111000001111;1001000000001100
ld;;;d;X+;1001000ddddd1101;1111111000001111;1001000000001101
ld;;;d;-X;1001000ddddd1110;1111111000001111;1001000000001110
ld;;;d;Y;1000000ddddd1000;1111111000001111;1000000000001000
ld;;;d;Y+;1001000ddddd1001;1111111000001111;1001000000001001
ld;;;d;-Y;1001000ddddd1010;1111111000001111;1001000000001010
ldd;;;d;Y+q;10q0qq0ddddd1qqq;1101001000001000;1000000000001000
ld;;;d;Z;1000000ddddd0000;1111111000001111;1000000000000000
ld;;;d;Z+;1001000ddddd0001;1111111000001111;1001000000000001
ld;;;d;-Z;1001000ddddd0010;1111111000001111;1001000000000010
ldd;;;d;Z+q;10q0qq0ddddd0qqq;1101001000001000;1000000000000000
lds;;;d;k;1001000ddddd0000kkkkkkkkkkkkkkkk;11111110000011110000000000000000;10010000000000000000000000000000
st;;;X;r;1001001rrrrr1100;1111111000001111;1001001000001100
st;;;X+;r;1001001rrrrr1101;1111111000001111;1001001000001101
st;;;-X;r;1001001rrrrr1110;1111111000001111;1001001000001110
st;;;Y;r;1000001rrrrr1000;1111111000001111;1000001000001000
st;;;Y+;r;1001001rrrrr1001;1111111000001111;1001001000001001
st;;;-Y;r;1001001rrrrr1010;1111111000001111;1001001000001010
std;;;Y+q;r;10q0qq1rrrrr1qqq;1101001000001000;1000001000001000
st;;;Z;r;1000001rrrrr0000;1111111000001111;1000001000000000
st;;;Z+;r;1001001rrrrr0001;1111111000001111;1001001000000001
st;;;-Z;r;1001001rrrrr0010;1111111000001111;1001001000000010
std;;;Z+q;r;10q0qq1rrrrr0qqq;1101001000001000;1000001000000000
sts;;;k;r;1001001rrrrr0000kkkkkkkkkkkkkkkk;11111110000011110000000000000000;10010010000000000000000000000000
lpm;;;;;1001010111001000;1111111111111111;1001010111001000
lpm;;;d;Z;1001000ddddd0100;1111111000001111;1001000000000100
lpm;;;d;Z+;1001000ddddd0101;1111111000001111;1001000000000101
spm;;;;;1001010111101000;1111111111111111;1001010111101000
in;;;d;P;10110PPdddddPPPP;1111100000000000;1011000000000000
out;;;P;r;10111PPrrrrrPPPP;1111100000000000;1011100000000000
push;;;r;;1001001rrrrr1111;1111111000001111;1001001000001111
pop;;;d;;1001000ddddd1111;1111111000001111;1001000000001111
rjmp;m;;k;;1100kkkkkkkkkkkk;1111000000000000;1100000000000000
ijmp;;;;;1001010000001000;1111111111111111;1001010000001000
jmp;s;;k;;1001010kkkkk110kkkkkkkkkkkkkkkkk;11111110000011100000000000000000;10010100000011000000000000000000
rcall;m;;k;;1101kkkkkkkkkkkk;1111000000000000;1101000000000000
icall;;;;;1001010100001000;1111111111111111;1001010100001000
call;s;;k;;1001010kkkkk111kkkkkkkkkkkkkkkkk;11111110000011100000000000000000;10010100000011100000000000000000
ret;;;;;1001010100001000;1111111111111111;1001010100001000
reti;;;;;1001010100011000;1111111111111111;1001010100011000
cpse;;;d;r;000100rdddddrrrr;1111110000000000;0001000000000000
cp;;;d;r;000101rdddddrrrr;1111110000000000;0001010000000000
cpc;;;d;r;000001rdddddrrrr;1111110000000000;0000010000000000
cpi;a;;d;K;0011KKKKddddKKKK;1111000000000000;0011000000000000
sbrc;;;r;b;1111110rrrrrobbb;1111111000001000;1111110000000000
sbrs;;;r;b;1111111rrrrrobbb;1111111000001000;1111111000000000
sbic;;;P;b;10011001PPPPPbbb;1111111100000000;1001100100000000
sbis;;;P;b;10011011PPPPPbbb;1111111100000000;1001101100000000
breq;m;;k;;111100kkkkkkk001;1111110000000111;1111000000000001
brne;m;;k;;111101kkkkkkk001;1111110000000111;1111010000000001
brbc;;m;s;k;111101kkkkkkksss;1111110000000000;1111010000000000
brbs;;m;s;k;111100kkkkkkksss;1111110000000000;1111000000000000
brcc;m;;k;;111101kkkkkkk000;1111110000000111;1111010000000000
brcs;m;;k;;111100kkkkkkk000;1111110000000111;1111000000000000
